,City,Country,Lat,Lng,Hotel Name
366,Calama,CL,-22.47,-68.93,
367,Oskemen,KZ,49.96,82.61,
368,Husavik,IS,66.04,-17.34,
369,Arkhara,RU,49.42,130.08,
370,Kogon,UZ,39.72,64.55,
371,Hambantota,LK,6.12,81.12,
372,Sayyan,YE,15.17,44.32,
373,Yaval,IN,21.17,75.7,
374,Dunedin,NZ,-45.87,170.5,
375,Sikonge,TZ,-5.63,32.77,
376,Kavaratti,IN,10.57,72.64,
377,Poplar Bluff,US,36.76,-90.39,
378,Joutseno,FI,61.12,28.51,
379,Haileybury,CA,47.45,-79.64,
380,Muhos,FI,64.75,26.17,
381,Chegdomyn,RU,51.12,133.02,
382,Assiut,EG,27.18,31.18,
383,Zambezi,ZM,-13.54,23.1,
384,Alyangula,AU,-13.85,136.42,
385,Bend,US,44.06,-121.32,
386,Harper,LR,4.38,-7.72,
387,Pamplona,ES,42.82,-1.64,
388,Seoul,KR,37.57,126.98,
389,Mount Gambier,AU,-37.83,140.77,
390,Baijiantan,CN,45.63,85.18,
391,Sept-Iles,CA,50.2,-66.38,
392,Itoman,JP,26.12,127.67,
393,Huambo,AO,-12.78,15.74,
394,Turukhansk,RU,65.82,87.98,
395,Simbahan,PH,6.3,120.58,
396,Leopold,AU,-38.18,144.47,
397,Abu Dhabi,AE,24.47,54.37,
398,Ust'-Ishim,RU,57.69,71.17,
399,Lovington,US,32.94,-103.35,
400,Srednekolymsk,RU,67.45,153.68,
401,Nar'yan-Mar,RU,67.67,53.09,
402,Mackay,AU,-21.15,149.2,
403,Doka,SD,13.52,35.77,
404,Port Hardy,CA,50.7,-127.42,
405,Shimoda,JP,34.67,138.95,
406,Yeppoon,AU,-23.13,150.73,
407,Rock Springs,US,41.59,-109.2,
408,Sola,VU,-13.88,167.55,
409,Chibombo,ZM,-14.66,28.07,
410,Sredniy Ikorets,RU,51.07,39.76,
411,Billings,US,45.78,-108.5,
412,Batticaloa,LK,7.71,81.69,
413,Zmeinogorsk,RU,51.16,82.19,
414,Kuusamo,FI,65.97,29.18,
415,Saint Andrews,US,34.05,-81.13,
416,Sambava,MG,-14.27,50.17,
417,Mundo Nuevo (Ojo de Agua),MX,18.7,-95.5,
418,Misratah,LY,32.38,15.09,
419,Santa Rosa,PH,14.31,121.11,
420,Rio Grande,BR,-32.03,-52.1,
421,Mingguang,CN,32.78,117.96,
422,Bontang,ID,0.13,117.5,
423,San Quintin,MX,30.48,-115.95,
424,Manado,ID,1.49,124.85,
425,Kidero,RU,42.19,45.96,
426,Lukovetskiy,RU,64.3,41.92,
427,Ratnagiri,IN,16.98,73.3,
428,Hong Kong,HK,22.29,114.16,
429,Fort Nelson,CA,58.81,-122.7,
430,Jipijapa,EC,-1.33,-80.58,
431,Bonthe,SL,7.53,-12.51,
432,Campbell River,CA,50.02,-125.24,
433,Labuhan,ID,-6.88,112.21,
434,Moorhead,US,46.87,-96.77,
435,Independenta,RO,45.48,27.75,
436,Kudahuvadhoo,MV,2.67,72.89,
437,Fortuna,US,40.6,-124.16,
438,Orichi,RU,58.4,49.06,
439,Porto-Novo,BJ,6.5,2.6,
440,Ekibastuz,KZ,51.67,75.37,
441,Port Macquarie,AU,-31.43,152.92,
442,Kem,RU,64.96,34.58,
443,Broome,US,42.25,-75.83,
444,Banjar,ID,-8.19,114.97,
445,Hopewell,US,37.3,-77.29,
446,Sabha,LY,27.04,14.43,
447,Aljustrel,PT,37.88,-8.17,
448,Xining,CN,36.62,101.77,
449,Gornopravdinsk,RU,60.05,69.9,
450,Nanortalik,GL,60.14,-45.24,
451,Galesong,ID,-5.32,119.37,
452,Flin Flon,CA,54.77,-101.86,
453,Pombia,IT,45.65,8.63,
454,Vostok,RU,46.49,135.88,
455,Cabatuan,PH,10.88,122.49,
456,Fuente Palmera,ES,37.7,-5.1,
457,Hvide Sande,DK,56.0,8.13,
458,Sigulda,LV,57.15,24.86,
459,Marawi,PH,8.0,124.29,
460,Aitape,PG,-3.14,142.35,
461,Sioux Lookout,CA,50.1,-91.92,
462,Hauterive,FR,46.09,3.45,
463,Svetlaya,RU,46.54,138.33,
464,Petra,JO,30.32,35.48,
465,Faanui,PF,-16.48,-151.75,
466,Soyo,AO,-6.13,12.37,
467,Ucluelet,CA,48.93,-125.55,
468,Dalbandin,PK,28.89,64.41,
469,Tromso,NO,69.65,18.96,
470,Severodvinsk,RU,64.56,39.83,
471,Pisco,PE,-13.7,-76.22,
472,Ponta Delgada,PT,37.73,-25.67,
473,Muros,ES,42.78,-9.06,
474,Chimbote,PE,-9.09,-78.58,
475,Cuamba,MZ,-14.8,36.54,
476,Kiruna,SE,67.86,20.23,
477,Ruy Barbosa,BR,-12.28,-40.49,
478,Kumul,CN,42.8,93.45,
479,Rockhampton,AU,-23.38,150.5,
480,Sorland,NO,67.67,12.69,
481,Ixtapa,MX,20.7,-105.2,
482,Balikpapan,ID,-1.27,116.83,
483,Salalah,OM,17.02,54.09,
